Name,Prison Number,Location,Incentive Level,Age
Thomas Shelby,G2632BB,3-2-027,Enhanced,34
Alfie Solomons,A1147CX,1-1-014,Standard,52
Arthur Shelby,J8834RT,2-4-009,Basic,38
John Shelby,K2210LM,3-2-031,Standard,29
Michael Gray,B5521ZQ,4-1-002,Enhanced,26
Billy Kimber,F7719NP,1-3-018,Basic,61
Freddie Thorne,H3092YU,2-2-045,Standard,31
Danny Whizz-Bang,E6644OP,3-1-011,Basic,44
Isaiah Jesus,C1289WD,4-2-036,Enhanced,23
Curly Bridges,D9930GH,1-2-005,Standard,58
Jeremiah Jesus,G4456TK,2-1-022,Basic,49
Charlie Strong,A8871VN,3-3-014,Standard,67
Aberama Gold,K5502FR,4-3-028,Enhanced,55
Barney Thomason,B1147QZ,1-4-003,Basic,22
Vincente Changretta,F3390LC,2-3-041,Standard,60
Luca Changretta,H9021MB,3-4-017,Enhanced,33
Sabini Darby,J6642XR,1-1-009,Basic,45
Billy Grade,C2287TY,4-4-022,Standard,39
Jack Nelson,E5510DW,2-2-013,Enhanced,41
Angel Changretta,D8834PN,3-1-006,Basic,27
Ollie Bailey,A1123KV,1-3-032,Standard,50
Finn Shelby,K7756HG,2-4-019,Enhanced,19
Isaiah Grant,B4409RW,4-1-008,Basic,24
Lizzie Stark,G2298TC,3-2-014,Standard,36
Ada Thorne,F6612ML,1-2-027,Enhanced,32
Polly Gray,H3345XB,2-1-002,Standard,68
Esme Shelby,C7781QD,4-2-011,Basic,29
Jeremiah Boswell,J1290FN,3-3-035,Enhanced,73
Billy the Kid,E4478TR,1-4-020,Basic,18
Mickey Gray,K8823LP,2-3-006,Standard,90
